iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c
586,0,2,2,0,0,2,0,0,1,0
587,1,1,1,1,1,2,1,0,1,0
588,1,3,0,0,2,1,2,0,1,0
589,0,1,1,1,1,1,0,0,1,0
590,0,0,0,1,0,1,3,0,0,0
591,0,2,0,2,0,1,2,0,2,0
592,0,1,0,1,3,3,1,0,0,0
593,0,3,1,1,1,0,2,0,3,0
594,2,7,0,0,0,1,0,0,1,0
595,0,1,0,0,1,1,3,0,1,0
596,1,0,0,1,0,0,2,0,1,0
597,0,3,1,1,3,0,0,0,2,0
598,3,2,0,4,1,3,2,0,1,0
599,2,5,0,1,0,0,2,0,1,0
600,0,0,0,0,2,0,0,0,0,0
601,2,1,0,5,0,2,1,0,0,0
602,1,1,0,2,1,0,0,0,1,0
603,2,0,0,3,0,1,0,0,1,0
604,1,4,0,4,1,0,4,0,3,0
605,2,2,0,2,2,0,1,0,3,0
606,0,4,0,1,2,2,2,0,2,0
607,0,0,0,3,0,0,3,0,3,0
608,0,4,0,1,2,1,1,0,0,0
609,0,0,0,1,2,1,1,0,1,0
610,0,3,5,2,1,1,1,0,2,0
611,0,7,0,5,1,2,2,0,0,0
612,1,2,4,3,2,2,4,0,1,0
613,0,1,3,1,0,1,2,0,4,0
614,0,3,1,2,1,0,2,0,2,0
615,1,0,2,1,1,1,2,0,1,0
616,1,2,2,0,1,0,3,0,1,0
617,1,1,0,0,0,0,1,0,3,0
618,1,2,0,3,0,0,0,0,4,0
